Title,Text,Author,Source,Label,,,
"Experts Recommend Breaking Down Crushing Defeats Into Smaller, More Manageable Failures  ",,The Onion,Twitter,Satirical,,,
Businessman Does His Work Lying On Bed Like Schoolgirl  ,,The Onion,Twitter,Satirical,,,
"Next time you eat the 16-piece Bonafide Family Meal, remember that Popeyes wants serial rapists to have weekend pa…  //t.co/bPGErgTq6D",,The Onion,Twitter,Satirical,,,
‘If This Report Is True’ To Be Repeated 5.7 Billion Times Today  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: What The Hell: This Kid Didn’t Dry Off From The Pool Before Sticking His Hand Into The Doritos Bag And Now Everyone Else Has…,,The Onion,Twitter,Satirical,,,
RT @ClickHole: The Backlash Continues: Colin Kaepernick Is Joining The Nike Boycott After Learning It Doesn’t Make Top Hats  ,,The Onion,Twitter,Satirical,,,
Horrified Nurses Discover 40-Pound Baby After Accidentally Leaving It In Incubator Over Weekend…  ,,The Onion,Twitter,Satirical,,,
World’s Leading Scientists Nervously Stand Next To Poster-Board Displays As Nobel Committee Walks Through Gymnasium…  ,,The Onion,Twitter,Satirical,,,
President Trump has been a model of professionalism ever since the accident—he’s attentive and inquisitive during…  //t.co/u8NoxAfu5K,,The Onion,Twitter,Satirical,,,
Death Row Inmate Dies Of Natural Causes 3 Days Into Execution  ,,The Onion,Twitter,Satirical,,,
Rock &amp; Roll Hall Of Fame Rescinds Nomination After Discovering The Cure Was Voted In As Cruel Prank By Popular Kids…  ,,The Onion,Twitter,Satirical,,,
Town Fails To Rally Around Adult Trapped In Well  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Intelligence Setback: The CIA Is In Crisis Mode After ISIS Made Its Instagram Private  ,,The Onion,Twitter,Satirical,,,
Man Nervous About Telling Date He Has Her Kids  ,,The Onion,Twitter,Satirical,,,
Kanye West Announces His New Name Is Tim  ,,The Onion,Twitter,Satirical,,,
Study: 83% Of Marathon Spectators Only Attend For Sick Thrill Of Watching Fellow Man Suffer  ,,The Onion,Twitter,Satirical,,,
Hero Firefighter Loses Lifelong Battle With Fire  ,,The Onion,Twitter,Satirical,,,
Jared Kushner Likely Avoided Income Tax For Years  ,,The Onion,Twitter,Satirical,,,
National News Highlights  ,,The Onion,Twitter,Satirical,,,
"RT @ClickHole: Father Of The Year: His Daughter Loves Frozen, So For Her Birthday This Awesome Dad Cursed The Land With Eternal Winter http…",,The Onion,Twitter,Satirical,,,
Report Finds More Americans Putting Off Children Until Companies Are Ready  ,,The Onion,Twitter,Satirical,,,
Researchers Observe Chimpanzees Using Pro Tools  ,,The Onion,Twitter,Satirical,,,
"Local man Richard Minhas ushered his guest around the 750-square-foot space, stopping by the placards, which includ…  ",,The Onion,Twitter,Satirical,,,
"Gifted, Passionate Student Really Stretching Limits Of School’s Resources  ",,The Onion,Twitter,Satirical,,,
Manafort Reaches Plea Deal With Special Counsel  ,,The Onion,Twitter,Satirical,,,
Is Cindy Gruden Worth More Than The 7th-Round Pick Jon Gruden Traded Her For?  ,,The Onion,Twitter,Satirical,,,
"Man, I was into some really weird religious mumbo-jumbo back then.  ",,The Onion,Twitter,Satirical,,,
"‘No Way To Prevent This,’ Says Only Nation Where This Regularly Happens  ",,The Onion,Twitter,Satirical,,,
High School Drama Teacher Already Has Pretty Good Idea Who He'll Pick For Fall Girlfriend  ,,The Onion,Twitter,Satirical,,,
Disgusting Coworker Barely Even Washed Ass Before Leaving Bathroom  ,,The Onion,Twitter,Satirical,,,
Arctic Scientists Discover Perfectly Preserved Al Gore Frozen In Glacier  ,,The Onion,Twitter,Satirical,,,
RT @TheOnion: Embarrassed Alexandria Ocasio-Cortez Can Only Afford American Flag Pin With 19 Stars  ,,The Onion,Twitter,Satirical,,,
Dirty Slush Machine Provides Children In Florida Taste Of Winter  ,,The Onion,Twitter,Satirical,,,
Crusted Ring Around NyQuil Bottle Top Coming Along Nicely  ,,The Onion,Twitter,Satirical,,,
Nation’s Financial Advisors Recommend Capturing Magical Creature That Grants Wishes  ,,The Onion,Twitter,Satirical,,,
Everyone At Consumer Electronics Show Forced To Share Single Surge Protector  ,,The Onion,Twitter,Satirical,,,
Interminable Nightmare Of Buying Wrong Toilet Paper In Bulk Nearly Over  ,,The Onion,Twitter,Satirical,,,
White Supremacist Living Fulfilling Racist Life Since Getting Kicked Offline  ,,The Onion,Twitter,Satirical,,,
"We’re poised on the cusp of a major IPO, so the last thing we need is our remarkably troubled name on people’s lip…  //t.co/8hsagX11Wc",,The Onion,Twitter,Satirical,,,
Nation’s Aunts Announce Their 2018 Thanksgiving Boyfriend Roster  ,,The Onion,Twitter,Satirical,,,
"Expert On International Jewish Conspiracy Has Never Been More Than 40 Miles Outside Council Bluffs, Iowa…  ",,The Onion,Twitter,Satirical,,,
God Excited He Only Two Mortgage Payments Away From Owning Heaven  ,,The Onion,Twitter,Satirical,,,
Grasshopper Dismembered By Future Supreme Court Justice  ,,The Onion,Twitter,Satirical,,,
Sad 38-Year-Old Googles 'Jobs Caring For Baby Animals'  ,,The Onion,Twitter,Satirical,,,
Deloitte Hires Accountant After Noticing Popular Tweets Of Audit Calculations  ,,The Onion,Twitter,Satirical,,,
Melania’s Heart Sinks After Realizing Husband Uses Pet Name ‘Horseface’ For Every Woman He Fucks…  ,,The Onion,Twitter,Satirical,,,
"To see more unmatched reporting, visit  ",,The Onion,Twitter,Satirical,,,
"Melania Wishes Just Once She Could Look In Mirror Without Own Reflection Turning Away, Gust Of Wind Blowing Through…  ",,The Onion,Twitter,Satirical,,,
Couple At Point Where They're Comfortable Using Toilet At Same Time  ,,The Onion,Twitter,Satirical,,,
Nation’s Fact-Checkers Confirm They’ll Probably Wrap Up Evaluating Trump’s Statements By 2050 At Latest…  ,,The Onion,Twitter,Satirical,,,
Chicago Considers Universal Income To Tackle Poverty  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Need a gift for your baby to celebrate his or her big promotion at work? How about a ClickHole onesie?  ,,The Onion,Twitter,Satirical,,,
"Pope Promises More Open, Transparent Molestation In Future  ",,The Onion,Twitter,Satirical,,,
Fucking Idiot Has Perfect GIF For That  ,,The Onion,Twitter,Satirical,,,
Tips For Working From Home  ,,The Onion,Twitter,Satirical,,,
"New Report Finds Adult Film Star May Have Paid Over $130,000 To Cover Up Sexual Encounter With Trump…  ",,The Onion,Twitter,Satirical,,,
Study Finds 44% Of Young People Deleted Facecbook App From Phone In Last Year  ,,The Onion,Twitter,Satirical,,,
"‘En Passant,’ Whispers Mueller As He Knocks Another Pawn Off Chessboard In Shadowy, Dimly Lit Office…  ",,The Onion,Twitter,Satirical,,,
I was looking at the internet and thought of you when I saw these on the Amazon’s website. Don’t they look comfy?  ,,The Onion,Twitter,Satirical,,,
Tumblr To Ban All Adult Content  ,,The Onion,Twitter,Satirical,,,
U.S. Public Health Service Estimates They’ll Have Tuskegee Experiment Wrapped Up By 2020  ,,The Onion,Twitter,Satirical,,,
Man Has Absolutely No Clue How Old Anyone He Knows Is  ,,The Onion,Twitter,Satirical,,,
"Teen With Cancer Vows It Won't Keep Her From Being Mean, Moody Little Shit  ",,The Onion,Twitter,Satirical,,,
Frat Brothers Draw All Over Pledge Who Passed Away At Party  ,,The Onion,Twitter,Satirical,,,
3-Day Waiting Period Leads To Far More Feasible Murder Plot  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Attention Pastors! Share This Video With Your Congregation To Let Them Know You Fucked Up And None Of Them Are Going To Heav…,,The Onion,Twitter,Satirical,,,
Senate Confirms Brett Kavanaugh To Supreme Court  ,,The Onion,Twitter,Satirical,,,
National News Highlights  ,,The Onion,Twitter,Satirical,,,
Did You Know?  ,,The Onion,Twitter,Satirical,,,
We probably should’ve realized what we were doing when we called on residents to immediately leave their homes wit…  //t.co/hmCRb7TLvJ,,The Onion,Twitter,Satirical,,,
"ET, Access Hollywood, TMZ Choppers Hovering Above Scene Of Gruesome Red Carpet Dress  ",,The Onion,Twitter,Satirical,,,
City Adds Some Big Concrete Stairs  ,,The Onion,Twitter,Satirical,,,
Tips For Safe Prescription Drug Usage  ,,The Onion,Twitter,Satirical,,,
CBS Reveals 'Big Bang Theory' Season 12 Will Explore Why Sheldon Keeps Job After Sexually Harassing 6 Research Assi…  ,,The Onion,Twitter,Satirical,,,
"Teammate Actually Trying To Do Homework During 30-Minute Period Between School, Practice  ",,The Onion,Twitter,Satirical,,,
"Report: More Women Choosing To Freeze Their Eggs Until Age When Sudden, Unexplained Mass Infertility Places Society…  ",,The Onion,Twitter,Satirical,,,
Girlfriend Really Has Mind Of Its Own Today  ,,The Onion,Twitter,Satirical,,,
RT @TheOnion: Local Clan Attempts To Intimidate Rivals With Aggressive Display Of Fertility  ,,The Onion,Twitter,Satirical,,,
Entirety Of Browns Dawg Pound Euthanized Following Rabies Outbreak  ,,The Onion,Twitter,Satirical,,,
Inmates Scrambling To Replace Whitey Bulger In Prison Production Of ‘Guys And Dolls’  ,,The Onion,Twitter,Satirical,,,
Applebee’s Steak Sent Back For Not Being Properly Slathered  ,,The Onion,Twitter,Satirical,,,
"RT @ClickHole: Making His Own Way: This College Student Refuses To Let His Parents Pay For Anything Outside Of Tuition, Rent, And Food http…",,The Onion,Twitter,Satirical,,,
Does Jimmy Garoppolo Have What It Takes To Start His Own Sham Fitness And Diet Program?  ,,The Onion,Twitter,Satirical,,,
Most Notorious Criminals In U.S. History  ,,The Onion,Twitter,Satirical,,,
Kotex Tampons Recalled After Reports Of Pieces Left In Bodies  ,,The Onion,Twitter,Satirical,,,
Disney Finds Dozens Of Unauthorized Characters Appearing Illegally Inside Theme Park  ,,The Onion,Twitter,Satirical,,,
New Teen Trend ‘Walking Wet And Nude’ Couldn’t Have Caught On At Worse Time  ,,The Onion,Twitter,Satirical,,,
"Most real-world wooden crates are sturdy enough to withstand the rigors of transcontinental shipping, and it takes…  //t.co/A5GALg99fW",,The Onion,Twitter,Satirical,,,
Let’s Avoid The Brett Favre Comparisons Until Patrick Mahomes Can Consistently Send Dick Pics To Reporters  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: End Of An Era: The 6th-Grader Who Wore The Same Green Day Shirt From Kohl’s For The First 18 Days Of School Is Finally Weari…,,The Onion,Twitter,Satirical,,,
"Oh my God, Mary—I got Mary!  ",,The Onion,Twitter,Satirical,,,
Cockroaches Feeling Very Optimistic About Future Of Planet  ,,The Onion,Twitter,Satirical,,,
Report: Mom Has Plan For Tub Of Whipped Cream In Fridge  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Miracle Worker: Justin Came Through With The Xannies Yet Again Like The God He Is  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Heartbreaking: The Thing You Want Is All The Way Over There  ,,The Onion,Twitter,Satirical,,,
Visit  ,,The Onion,Twitter,Satirical,,,
Fox News Debuts Premium Channel For 24-Hour Coverage Of Alexandria Ocasio-Cortez  ,,The Onion,Twitter,Satirical,,,
Man Pissed After Becoming Trapped In Macy’s Day Parade While Out Walking Giant Pikachu Balloon…  ,,The Onion,Twitter,Satirical,,,
GOP Strips Steve King Of Post On Powerful House Segregation Committee  ,,The Onion,Twitter,Satirical,,,
Evolution Definitively Proven As Scientists Capture First-Ever Footage Of Chimpanzee Transforming Into Human…  ,,The Onion,Twitter,Satirical,,,
Nation Refuses To Read Headline Beyond Words '4-Year-Old Girl Forced To'  ,,The Onion,Twitter,Satirical,,,
From The Archives: Fully Validated Kanye West Retires To Quiet Farm In Iowa  ,,The Onion,Twitter,Satirical,,,
National News Highlights  ,,The Onion,Twitter,Satirical,,,
This Weekend's Onion Magazine:  ,,The Onion,Twitter,Satirical,,,
"This Week's Editorial Cartoon: ""O, Holy Fight""  ",,The Onion,Twitter,Satirical,,,
Struggling Museum Now Allowing Patrons To Touch Paintings  ,,The Onion,Twitter,Satirical,,,
RT @TheOnion: Scott Walker Changes Locks On Wisconsin Governor’s Office  ,,The Onion,Twitter,Satirical,,,
"This Week's Editorial Cartoon: ""Heavenly Body""  ",,The Onion,Twitter,Satirical,,,
RT @TheOnion: ‘If This Report Is True’ To Be Repeated 5.7 Billion Times Today  ,,The Onion,Twitter,Satirical,,,
"Blockchain technology forms the foundation for cryptocurrencies such as Bitcoin, Dogecoin, and Ethereum, but it can…  ",,The Onion,Twitter,Satirical,,,
National News Highlights  ,,The Onion,Twitter,Satirical,,,
Study Finds Those With Deceased Family Members At High Risk Of Dying Themselves  ,,The Onion,Twitter,Satirical,,,
"This Week's Editorial Cartoon: ""Casting Bawl""  ",,The Onion,Twitter,Satirical,,,
New Bill Would Limit Abortion To Cases Where Procedure Necessary To Save Promising Political Career…  ,,The Onion,Twitter,Satirical,,,
Man Wishes There Were Some Kind Of Pre-Midterm Race Where Voters Could Select Better Candidates…  ,,The Onion,Twitter,Satirical,,,
"Middle-Age Center Provides Safe, Positive Place For Fortysomethings To Go After Work  ",,The Onion,Twitter,Satirical,,,
Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack  ,,The Onion,Twitter,Satirical,,,
Man Trying To Get Out Of Executioner Duty  ,,The Onion,Twitter,Satirical,,,
Midterms 2018: Gubernatorial Races To Watch  ,,The Onion,Twitter,Satirical,,,
Museum Gift Shop Openly Daring Anyone To Spend $450 On Decorative Geode  ,,The Onion,Twitter,Satirical,,,
White House Now Just Holding Continuous Going-Away Party For Departing Staffers  ,,The Onion,Twitter,Satirical,,,
Pussy-Hat-Wearing Jeff Flake Spotted Protesting Outside Senate Ahead Of Voting Yes For Kavanaugh…  ,,The Onion,Twitter,Satirical,,,
Taylor Swift Inspires 200 Million Fans To Register To Vote In Tennessee  ,,The Onion,Twitter,Satirical,,,
Progressive Zoo Houses Animals In Natural Destroyed Habitat  ,,The Onion,Twitter,Satirical,,,
Raid Recalls Entire Line Of Insecticide After Realizing Food Chain Would Collapse Without Bugs…  ,,The Onion,Twitter,Satirical,,,
"For more world-renowned reportage, visit  ",,The Onion,Twitter,Satirical,,,
"Less than 48 hours from now, you’ll be able to let your mind go blank, push all your troubles away, and immerse yo…  //t.co/AdNFvhnqjh",,The Onion,Twitter,Satirical,,,
Area Man Self-Conscious About All The Wrong Things  ,,The Onion,Twitter,Satirical,,,
God Knocked Unconscious By DirectTV Satellite  ,,The Onion,Twitter,Satirical,,,
"Trump Insists Manafort, Assange Only Discussed How Bad Collusion Is  ",,The Onion,Twitter,Satirical,,,
Obama Endorses Not Doing Goddamn Thing To Fix Illinois In Midterms  ,,The Onion,Twitter,Satirical,,,
Report: More Travelers Avoiding Long Lines At Airport Thanks To Cinnabon PreCheck Memberships…  ,,The Onion,Twitter,Satirical,,,
Biggest Revelations From Bob Woodward’s New Trump Administration Book  ,,The Onion,Twitter,Satirical,,,
Woman Sick Of Being Stuck In Back Half Of Velma Costume Entire Halloween Party  ,,The Onion,Twitter,Satirical,,,
Cat Internally Debates Whether Or Not To Rip Head Off Smaller Creature It Just Met  ,,The Onion,Twitter,Satirical,,,
Authoritarian Secretary Of Transportation Declares She Has Ultimate Right Of Way In Every Traffic Scenario…  ,,The Onion,Twitter,Satirical,,,
Officials Starting To Think School Just Not Nation’s Thing  ,,The Onion,Twitter,Satirical,,,
How To Become An Online Brand Promoter  ,,The Onion,Twitter,Satirical,,,
Woman Amazed She Found Perfect Partner Just When She Was Getting Desperate Enough To Accept Anything…  ,,The Onion,Twitter,Satirical,,,
Study: Nearly Half Of Anti-‘The Last Jedi Tweets’ Were Bots  ,,The Onion,Twitter,Satirical,,,
"Guy Carrying Guitar Case On Elevator Envied By Everyone On Elevator, Imagines Guy  ",,The Onion,Twitter,Satirical,,,
This Weekend's Onion Magazine:  ,,The Onion,Twitter,Satirical,,,
"We dunces stand on our roof gutters today, fully prepared to jump 20 feet to the ground and straight into a mounta…  //t.co/PpbPiXQrbX",,The Onion,Twitter,Satirical,,,
Report: Someone Probably Masturbating To This Stock Photo Right Now  ,,The Onion,Twitter,Satirical,,,
Man Hates Having To Wear Condoms All Day Every Day  ,,The Onion,Twitter,Satirical,,,
Insurance Company Gets Fucked Over By Another Cancer Patient  ,,The Onion,Twitter,Satirical,,,
Dead Facebook Friend From High School Still Has Cartman Profile Picture  ,,The Onion,Twitter,Satirical,,,
Kid Putting Pencils Between Knuckles About To Fuck Someone Up  ,,The Onion,Twitter,Satirical,,,
Entirety Of Man’s Personal Data Protected By Reference To Third Season Of ‘The West Wing’  ,,The Onion,Twitter,Satirical,,,
Podiatrists Recommend Getting Feet Rotated Every 6 Months  ,,The Onion,Twitter,Satirical,,,
RT @ClickHole: Catastrophic Misstep: The Reptile Guy At This School Assembly Just Handed A Huge Snake To The Most Straight-Up Insane Kid In…,,The Onion,Twitter,Satirical,,,
RT @ClickHole: 5 Enchanted Animals That Whimsically Dress Me Up Like Snow White Every Fucking Morning Even Though I Work At An Investment B…,,The Onion,Twitter,Satirical,,,
Woman Who Hasn’t Bought Anything Recently Wondering Why She Suddenly Happy  ,,The Onion,Twitter,Satirical,,,
Should LeBron James Leave ‘Space Jam 2’ For A Movie With A Better Chance Of Winning An Oscar?  ,,The Onion,Twitter,Satirical,,,
Lindsey Graham Dining Alone At Applebee’s Kind Of Wishes Protesters Would Come Heckle Him  ,,The Onion,Twitter,Satirical,,,
Michael Cohen Granted Prison Work Release For New Job With Trump 2020 Campaign  ,,The Onion,Twitter,Satirical,,,
National News Highlights  ,,The Onion,Twitter,Satirical,,,
‘Game Of Thrones’ Fans Excited To Hear Series Will Finally Be Over  ,,The Onion,Twitter,Satirical,,,
Hillary Launches Campaign To Raise $100 Million Or Else She’ll Run For President  ,,The Onion,Twitter,Satirical,,,
5 Things To Know About Rachel Maddow  ,,The Onion,Twitter,Satirical,,,
Taylor Swift Breaks Silence On Politics To Support Democrats  ,,The Onion,Twitter,Satirical,,,
"The Week In Pictures – Week Of September 10, 2018  ",,The Onion,Twitter,Satirical,,,
"Many are wondering whether the NFL’s black players, notorious haters of our military veterans, our flag, and our an…  ",,The Onion,Twitter,Satirical,,,
National News Highlights  ,,The Onion,Twitter,Satirical,,,
Man Can Still Win Fantasy Football This Week Provided Tight End Scores 9 Touchdowns On Monday…  ,,The Onion,Twitter,Satirical,,,
ExxonMobil CEO Depressed After Realizing Earth Could End Before They Finish Extracting All The Oil…  ,,The Onion,Twitter,Satirical,,,
4th Grader Panics Upon Realizing Classmate Giving Presentation Had Exact Same Summer As He Did…  ,,The Onion,Twitter,Satirical,,,
"If you know a man who has ever been denied something or who even feels as if they have been denied something, be s…  //t.co/pml2aRleG3",,The Onion,Twitter,Satirical,,,
"Oh, Christ, what the hell happened last night? What am I doing here?  ",,The Onion,Twitter,Satirical,,,
ACLU Stresses That It Legal To Film Garbage Men In All 50 States If You Really Need To  ,,The Onion,Twitter,Satirical,,,
Sick Fucks Line Up To Gape At Dead Body  ,,The Onion,Twitter,Satirical,,,
Alarming New Adult Trend ‘Plateauing In Your Career And Relationship’ Sweeps Nation  ,,The Onion,Twitter,Satirical,,,
"Paper Towels On Amazon Surge To $2,000 A Roll After Crippling Cost Increase Of Paying Workers A Living Wage…  ",,The Onion,Twitter,Satirical,,,
5-Year-Old At Underfunded Kindergarten Enjoying Last Few Weeks Before Achievement Gap Kicks In…  ,,The Onion,Twitter,Satirical,,,
Missed Call From Dad At 9 A.M. Strikes Terror Into Area Man’s Heart  ,,The Onion,Twitter,Satirical,,,
Mueller Expected To Reveal Details About 3 Major Players In Russia Investigation  ,,The Onion,Twitter,Satirical,,,
Americans Take Day Off From Looking For Work  ,,The Onion,Twitter,Satirical,,,
Study Finds Hearing Loved One's Voice Induces Excruciating Pain In Coma Patients  ,,The Onion,Twitter,Satirical,,,
"Oh, god, we really and truly screwed the pooch on this one.  ",,The Onion,Twitter,Satirical,,,
Amazon Reaches 1 Trillion Labor Violations  ,,The Onion,Twitter,Satirical,,,
"Grocery Store Bar Actually Has Great Little Happy Hour, Reports Man With A Serious Problem  ",,The Onion,Twitter,Satirical,,,
Our data confirmed that more and more women are choosing to put off having children and instead cryogenically free…  //t.co/hFHJD4YVCY,,The Onion,Twitter,Satirical,,,
From The Archives:  ,,The Onion,Twitter,Satirical,,,
This Weekend's Onion Magazine:  ,,The Onion,Twitter,Satirical,,,
"The Week In Pictures – Week Of September 24, 2018  ",,The Onion,Twitter,Satirical,,,
Democrats Win House  ,,The Onion,Twitter,Satirical,,,
