,Title,Text,Author,Source,Label
21,Biological Life Regrets Waiting 2.3 Billion Years To Try Sex https://t.co/cTUTza6pPz https://t.co/tmuYeVv4yh,,The Onion,Twitter,Satirical
22,Researchers: Quality Of Sleep May Be Affected By Abandoning Family In 1994 https://t.co/Pem1bFP5GQ https://t.co/ruOZqp9LRW,,The Onion,Twitter,Satirical
23,"For the latest from the world’s most unstoppable media juggernaut, visit https://t.co/csf5QTTFPD. https://t.co/glT31Xnysi",,The Onion,Twitter,Satirical
24,"RT @ClickHole: Worth A Shot: Tylenol Announced They’re Going To Try Jacking Up The Price Of Tylenol To $1,000 A Pill Like Other Drugs Do An…",,The Onion,Twitter,Satirical
25,"""We know our viewers will come to depend on this outlet for 24-hour coverage of @AOC, which is why her tweets, Inst… https://t.co/bjjfdi6u51",,The Onion,Twitter,Satirical
26,Man Tries Using Pink 6-Pound Bowling Ball To Great Amusement https://t.co/158VqwJ54R https://t.co/jcaLZ82LVM,,The Onion,Twitter,Satirical
27,"""I’ve driven past this place before, but this is the first time I’ve ever had the chance to try it."" https://t.co/t5cb4FYrQm",,The Onion,Twitter,Satirical
28,Nation Admits It Always A Little Bored By Whole Jimmy Hoffa Thing https://t.co/5Rkbh3akWG https://t.co/nRMXj2RjIv,,The Onion,Twitter,Satirical
29,RT @TheOnion: Lincoln Memorial Empty After Former President’s Statue Furloughed https://t.co/LMvO03avx0 https://t.co/Jy8WVG72Br,,The Onion,Twitter,Satirical
30,RT @thetakeout: A blind taste test to determine the best boxed mac-and-cheese https://t.co/b5Ex0yMxdx https://t.co/15rSTuKbmA,,The Onion,Twitter,Satirical
31,No One In Gang Has Heart To Tell Police Informant His Cover's Blown https://t.co/kMPW3YO7SY https://t.co/ASlMfWzjSZ,,The Onion,Twitter,Satirical
32,Report: There No Way Of Knowing Whether The Vague Award Mom Won At Work A Big Deal Or What https://t.co/syYvqufXNO https://t.co/tNBXFa0MRm,,The Onion,Twitter,Satirical
33,U.K. Parliament Rejects Theresa May’s Brexit Deal https://t.co/HFPBqdyxTK #WhatDoYouThink? https://t.co/FQ7RYJIX8L,,The Onion,Twitter,Satirical
34,Fox News Debuts Premium Channel For 24-Hour Coverage Of Alexandria Ocasio-Cortez https://t.co/2ET3x5Ibhl https://t.co/uYQUeCQfYp,,The Onion,Twitter,Satirical
35,"Woman Rushes To Hide Fragile Objects, Cover Up Sharp Corners On Tables Before Boyfriend Comes Over… https://t.co/mHsSED0snA",,The Onion,Twitter,Satirical
36,RT @ClickHole: 4 Bunnies We Must Pet And 2 Bunnies We Must Eat https://t.co/yvCMq3mTCp https://t.co/wWlgHROC1s,,The Onion,Twitter,Satirical
37,National News Highlights https://t.co/PDV1hzXb6Q,,The Onion,Twitter,Satirical
38,Pretentious Woman Refers To Slam Piece As ‘Partner’ https://t.co/7oy9kRMNf3 https://t.co/4OpVY5ZK2e,,The Onion,Twitter,Satirical
39,New Hampshire Legislature Passes Bill Naming Fentanyl State Opiate https://t.co/llh38KvVm6 https://t.co/DQMmI0Y5c0,,The Onion,Twitter,Satirical
40,"Insurance for pets has been on the rise in recent years, and is now an over $1 billion industry. The Onion looks at… https://t.co/apOgagcCUg",,The Onion,Twitter,Satirical
41,Pros And Cons Of Pet Insurance https://t.co/D4AQeXezec https://t.co/8Yze7lUuEq,,The Onion,Twitter,Satirical
42,Furloughed Government Employee Using Time Off To Visit Local Food Pantry She Been Hearing About… https://t.co/nh22DfgLF4,,The Onion,Twitter,Satirical
43,Photo Of Egg Breaks World Record For Most-Liked Instagram Post https://t.co/1CQbtIZExG #WhatDoYouThink? https://t.co/nZatdiS90e,,The Onion,Twitter,Satirical
44,Lincoln Memorial Empty After Former President’s Statue Furloughed https://t.co/LMvO03avx0 https://t.co/Jy8WVG72Br,,The Onion,Twitter,Satirical
45,Veteran Brita Filter’s Tour Of Duty Extended Another 3 Months https://t.co/Cbmy58MOvo https://t.co/TtATxnUdZ7,,The Onion,Twitter,Satirical
46,Lifelong Boise Resident Realizes He's Never Been To Morrison Knudsen Nature Center https://t.co/HKRfZ7UjNJ https://t.co/qo8YsoUf5U,,The Onion,Twitter,Satirical
47,Report: Average Person Spends 27% Of Lifetime In The Way https://t.co/8hAkesgfc8 https://t.co/A0C4lkCXnE,,The Onion,Twitter,Satirical
48,"""Believe me, those 12 chairs will definitely come in handy the next time some unexpected guests stop by for game ni… https://t.co/LRbNivBZTp",,The Onion,Twitter,Satirical
49,"Maximum-Security Prison Houses State’s Most Hardened, Violent Guards https://t.co/jOkW7pbsHg https://t.co/hoIDHE0wGN",,The Onion,Twitter,Satirical
50,National News Highlights https://t.co/haR4I4sfm8,,The Onion,Twitter,Satirical
51,Area Theater Has Strict Rule Against Bringing In Outside Movies https://t.co/VDl0RwjcXR https://t.co/vzW9wkrk3M,,The Onion,Twitter,Satirical
52,"@SenSchumer ""Realistically, I thought I’d make it five days max before rolling over and giving them whatever they w… https://t.co/7vqfUUMhIJ",,The Onion,Twitter,Satirical
53,RT @ClickHole: Put Down The iPad And Go Shave An Ape! 6 Awesome Things ’90s Kids Grew Up Doing To Orangutans That Kids Today Are Totally Mi…,,The Onion,Twitter,Satirical
54,"To see more unmatched reporting, visit https://t.co/csf5QUbhed. https://t.co/2uY63OSYgY",,The Onion,Twitter,Satirical
55,55-Year-Old Guy Dominating YMCA Pickup Basketball Game https://t.co/QeODnjgi0f https://t.co/tPctGXRQJe,,The Onion,Twitter,Satirical
56,"Fed-Up EU Rejects United Kingdom, Gives British 30 Days To Vacate Europe https://t.co/KuLN1Ziag3 https://t.co/uwY2fAJP5Y",,The Onion,Twitter,Satirical
57,GOP Leaders Condemn Steve King For White Supremacy Comment https://t.co/YRzMbh5k4n #WhatDoYouThink? https://t.co/OpnOUtbv8N,,The Onion,Twitter,Satirical
58,Government Shutdowns By The Numbers https://t.co/k1FufwTKuG,,The Onion,Twitter,Satirical
59,Prego Marketing New Marinara As ‘The Premiere Sauce For The #MeToo Moment’ https://t.co/urpoh2XtaP https://t.co/w1C92dCb1R,,The Onion,Twitter,Satirical
60,NBA Ref Petrified After Seeing Depiction Of Own Death While Looking Under Replay Hood https://t.co/fKFpqRKexj https://t.co/DqlBQRlp6d,,The Onion,Twitter,Satirical
61,RT @ClickHole: PR Nightmare: Make-A-Wish Accidentally Sent A Costumed Hero Named Terminally Ill Spider-Man To A Healthy Kid’s House And Ask…,,The Onion,Twitter,Satirical
62,Viagra Announces Real Medicine That Gave Customers Erections Was Confidence All Along https://t.co/r4ZirWrA5o https://t.co/rtOvQNhECl,,The Onion,Twitter,Satirical
63,Man Crouched Inside Of Robotic Welding Arm Terrified Robot Will Eventually Take His Job https://t.co/aqH2HB8Bx8 https://t.co/G43Ziu26AQ,,The Onion,Twitter,Satirical
64,Poll Shows Increasing Number Of Voters Blame Founding Fathers For Starting America https://t.co/Xv2jr2SyGp https://t.co/9BrC4Q6sPG,,The Onion,Twitter,Satirical
65,FBI Opened Inquiry Into Whether Trump Working For Russians https://t.co/HHGT24E7tm #WhatDoYouThink? https://t.co/6l9oeci5TF,,The Onion,Twitter,Satirical
66,William Barr Assures Senate He Will Let Donald Trump Finish His Job Without Any Interference https://t.co/4lXlnvdwSN https://t.co/H8DzUm8ikz,,The Onion,Twitter,Satirical
67,"Mom Wants To Know If You Could Use Grandma’s Antique, 12-Person Dining Room Table In Your Studio Apartment… https://t.co/fo1mYYGne5",,The Onion,Twitter,Satirical
68,Chuck Schumer Honestly Pretty Amazed He Hasn’t Caved Yet https://t.co/CLb6zatIgW https://t.co/78b6D4sfMT,,The Onion,Twitter,Satirical
69,"Your Horoscopes — Week Of January 15, 2019 https://t.co/D2lC29dFU6 https://t.co/XGXSpUvApO",,The Onion,Twitter,Satirical
70,Man Removing Sweatshirt Offers Coworkers Tantalizing Glimpse Of Bare Midriff https://t.co/JAyUvDwurg https://t.co/HB266AjQlC,,The Onion,Twitter,Satirical
71,Biologists Announce They’re All Done With Rodents https://t.co/7TlAbmJm4Z https://t.co/GtqeHUgZ6O,,The Onion,Twitter,Satirical
72,New Office Manager Provides Terrifying Glimpse Into Plans For Regime By Placing New Collection Of Teas In Drawer… https://t.co/ZsrLVmnBtr,,The Onion,Twitter,Satirical
73,"Bengal Tigers’ Habitat Down To Studio Apartment In Jaipur, India https://t.co/7xzC1Md9yh https://t.co/Y8TBh9RkP1",,The Onion,Twitter,Satirical
74,RT @ClickHole: Fans Rejoice! 5 Classic Moments Only Fans Will Remember! https://t.co/4NHknQqwe2 https://t.co/pQ68tVLYvu,,The Onion,Twitter,Satirical
75,"""This is awesome. I’ve been looking forward to this ever since season one."" https://t.co/Oof2kOJWTP",,The Onion,Twitter,Satirical
76,Man Has Been Meaning To Catch Up On Whole Of Human Artistic Endeavor https://t.co/13YC8K8W5C https://t.co/EM4CP6ceBR,,The Onion,Twitter,Satirical
77,"For more exemplary journalism, visit https://t.co/csf5QUbhed. https://t.co/YDTnKbQTN1",,The Onion,Twitter,Satirical
78,"‘I Want To Be With Someone Else,’ Says Woman Who Must Think 3-Time Hyundai Sales Leaders Grow On Trees… https://t.co/9cJhEkjf3X",,The Onion,Twitter,Satirical
79,@SteveKingIA “We have no choice but to relieve the congressman of his assignment.” https://t.co/QEt9m67vnL https://t.co/yIvOBHHz6R,,The Onion,Twitter,Satirical
80,Frustrated Employee No Longer Even Trying To Hide GRE Study Books https://t.co/6f2pgA4vzV https://t.co/Z7lUVIvrfK,,The Onion,Twitter,Satirical
81,National News Highlights https://t.co/7z2Pcq7EPG,,The Onion,Twitter,Satirical
82,Poll: Most Americans Blame Trump For Shutdown https://t.co/SHr3CBCMPu #WhatDoYouThink? https://t.co/U217JdAKZD,,The Onion,Twitter,Satirical
83,"""We dunces stand on our roof gutters today, fully prepared to jump 20 feet to the ground and straight into a mounta… https://t.co/PpbPiXQrbX",,The Onion,Twitter,Satirical
84,RT @ClickHole: Sick Fuck: This Dog Is Way Too Happy About Smelling Cancer https://t.co/riVRSxV4Yw https://t.co/6vDYjep2op,,The Onion,Twitter,Satirical
85,"Christmas Really Over, Man Realizes As iPhone Game Switches Out Holiday Icon https://t.co/fF1YilJLSP https://t.co/Vq8YnvrYf8",,The Onion,Twitter,Satirical
86,‘Game Of Thrones’ Fans Excited To Hear Series Will Finally Be Over https://t.co/BEwuYYD2db https://t.co/xaQsK58jbC,,The Onion,Twitter,Satirical
87,GOP Strips Steve King Of Post On Powerful House Segregation Committee https://t.co/DixS6XLNVt https://t.co/Ft0AFXlNuz,,The Onion,Twitter,Satirical
88,Furloughed Federal Employee Starts Online Search For New Government https://t.co/T13ClzKaze https://t.co/WwVRZ0cJsR,,The Onion,Twitter,Satirical
89,Advisors Instruct William Barr To Avoid Referring To Trump As ‘My Liege’ During Confirmation Hearing… https://t.co/skolG2IYnq,,The Onion,Twitter,Satirical
90,R&amp;B Singer Guesses She’ll Just Keep Moaning Into Mic Until Song Is Over https://t.co/cMlyG9ob6y https://t.co/TwbUhz1m2O,,The Onion,Twitter,Satirical
91,Nation’s Idiots Announce Plans To Jump Off Their Roofs Into A Pile Of Snow And Break Their Fucking Legs… https://t.co/GD6aMseJMa,,The Onion,Twitter,Satirical
92,Tinder Announces App Will No Longer Match Users Solely With Distant Relatives https://t.co/3zc7W3JgS0 https://t.co/bCUjZEqSlf,,The Onion,Twitter,Satirical
93,World Wildlife Fund Quickly Backtracks After Announcing Panda Ears Are Delicious https://t.co/CLFrsLJR1O https://t.co/rB07cfXShS,,The Onion,Twitter,Satirical
94,‘Seek Funding’ Step Added To Scientific Method https://t.co/RCL2NIWanJ https://t.co/qBCVkwCO7w,,The Onion,Twitter,Satirical
95,Report: Some Small Town Enjoying Last Days Of Anonymity Before Harrowing Tragedy https://t.co/6oPZzIGqsz https://t.co/KuWzx3BJS4,,The Onion,Twitter,Satirical
96,"Child Entertained For 5 Minutes By Plastic Toy That Will Take 1,000 Years To Biodegrade https://t.co/Bw7MQsEMT3 https://t.co/0wxZjl9Hm3",,The Onion,Twitter,Satirical
97,Report: Majority Of UFO Abductions Committed By Alien That Person Knows https://t.co/2g7DU0ZHvP https://t.co/k0muokFn3v,,The Onion,Twitter,Satirical
98,Siblings Patiently Waiting For Day They’ll Be Close To Each Other https://t.co/i3bOKlf9O4 https://t.co/8uDSdrC0gA,,The Onion,Twitter,Satirical
99,Severe Allergic Reaction Causes Florida To Swell Up To Twice Normal Size https://t.co/C7WZbr6uqU https://t.co/aghvygF1P9,,The Onion,Twitter,Satirical
100,Father Apologizes For Taking Out Anger On Wrong Son https://t.co/2EAhlL9y6f https://t.co/Ha26RD4uak,,The Onion,Twitter,Satirical
101,Man Updates Little Monologue Recited When Extended Relatives Ask How He’s Doing https://t.co/ZkzZiO9qHJ https://t.co/FboiKYk4nw,,The Onion,Twitter,Satirical
102,Depressed Crab Stays Buried Under Sand Until 2 P.M. https://t.co/3aQaGxEtIr https://t.co/i5KIROBxHI,,The Onion,Twitter,Satirical
103,Pope Francis Concerned About Infection From Holy Spirit Bite https://t.co/hee8dwpqah https://t.co/VuRjk2n0rb,,The Onion,Twitter,Satirical
104,Jellyfish Can't Wait To Fuck Up Honeymoon https://t.co/cNS2OU5LAx https://t.co/jtHCSnikYr,,The Onion,Twitter,Satirical
105,God Seeking To Crack Down On Souls Smuggling Drugs Into Heaven https://t.co/5C0RyKD4uu https://t.co/WQyq6AHINf,,The Onion,Twitter,Satirical
106,Lofty Ambitions To Shovel Entire Width Of Driveway Scaled Back To Only Shoveling Thin Path For Car… https://t.co/q9TYkyonmm,,The Onion,Twitter,Satirical
107,"‘Just Take It Slow, And You’ll Be Fine,’ Drunk Driver Assures Self While Speeding Away In Stolen Police Car… https://t.co/41g4uHM9XY",,The Onion,Twitter,Satirical
108,75% Of Party Trolley Defaulting On Student Loans https://t.co/yzFW8IUPVZ https://t.co/MqV1fOs2AK,,The Onion,Twitter,Satirical
109,Child’s Favorite Restaurant Also Dad’s Favorite Bar https://t.co/kCPp1EyrcS https://t.co/JzBal8aZ6Z,,The Onion,Twitter,Satirical
110,Man Suddenly Realizes He Was Duped By Commercial’s Romanticized Vision Of Canned Beans https://t.co/38EJL4nRYI https://t.co/T0DK8LW9xq,,The Onion,Twitter,Satirical
111,Goody Introduces New Line Of Governess Hairbrushes For Raking Across The Scalps Of Insolent Little Girls… https://t.co/wcIv6nHoUT,,The Onion,Twitter,Satirical
112,Campus Tour Guide Reminds Students At Each Stop They Have To Get In First https://t.co/ON2xtwDsn6 https://t.co/Uxxr53o7dB,,The Onion,Twitter,Satirical
113,Family Lets Cars Come Inside House During Snowstorm https://t.co/x0YxVtbkfx https://t.co/QNZB1A8NKD,,The Onion,Twitter,Satirical
114,Kid With Rough Home Life Gives Mickey Extra Long Hug https://t.co/2wZlw7AhTx https://t.co/pfFKGen83p,,The Onion,Twitter,Satirical
115,Aquarium Unveils 'Floating Carcasses Of The Pacific' Exhibit https://t.co/YcfLtYBlvq https://t.co/ViNrhuDmhg,,The Onion,Twitter,Satirical
116,Area Man Pretty Shaken Up After Running Into Casual Acquaintance At CVS https://t.co/ZmdBObHTGf https://t.co/1zc6QPeknE,,The Onion,Twitter,Satirical
117,Remington Debuts New Split Barrel Murder-Suicide Shotgun https://t.co/7DElFeS7Ge https://t.co/8biblDMwVC,,The Onion,Twitter,Satirical
118,Report: Nation’s Ditches Overflowing With Children Of Worried Parents https://t.co/BVKEshRpbx https://t.co/M0clqyq50w,,The Onion,Twitter,Satirical
119,"RT @TheAVClub: We regret to inform you that The Rock has some thoughts on ""generation snowflake"" https://t.co/Gv9cLTGP4Q https://t.co/tEhcl…",,The Onion,Twitter,Satirical
120,"Backstory Probably Explains Why Sports Bar Has Orioles, Lakers, Bears Flags https://t.co/XyEZykrcfR https://t.co/GgSTtkotHe",,The Onion,Twitter,Satirical
121,Health Scare Prompts Man To Start Overeating Healthier https://t.co/54CCsEa0yu https://t.co/AIi1N65Nw0,,The Onion,Twitter,Satirical
122,New Roommate Bestows Apartment With Unexpected Windfall Of End Tables https://t.co/YzQcsh3JWB https://t.co/6rigoTIyKi,,The Onion,Twitter,Satirical
123,Couple Puts Handful Of Items On Registry That Loser Family Members Can Afford https://t.co/nMmuFnp1Tl https://t.co/lXZkvhyN5Y,,The Onion,Twitter,Satirical
124,"For more world-renowned reportage, visit https://t.co/csf5QUbhed. https://t.co/0M651aP9PO",,The Onion,Twitter,Satirical
125,RT @ClickHole: Smooth Recovery: ExxonMobil Has Played Off Their Latest Massive Oil Spill As If They Did It On Purpose https://t.co/z7jw39Fr…,,The Onion,Twitter,Satirical
126,Second-Grader In Gym Class Fucking Amazing At Pull-Ups https://t.co/zT5z8vLm5M https://t.co/zuWnGcjCpg,,The Onion,Twitter,Satirical
127,Greatest Country In World Unable To Keep William H. Gross Stamp Gallery Open https://t.co/Bp6n2FbkVe https://t.co/MFUEv22KnS,,The Onion,Twitter,Satirical
128,Responsible Man Sets Aside Small Portion Of Every Paycheck For Bank To Gamble With https://t.co/nQN2JWlVrr https://t.co/4z0stYs9Xz,,The Onion,Twitter,Satirical
129,Sandwich Previously Thought Incapable Of Looking More Depressing Flattened In Backpack https://t.co/qrXpvVPBWw https://t.co/KS02eXDrqx,,The Onion,Twitter,Satirical
130,Beauty Industry Exec Keeps Photo Of Crying 15-Year-Old Girl On Desk To Remind Himself Why He Does This… https://t.co/ff4xTNdRIO,,The Onion,Twitter,Satirical
131,Ethan Hawke’s Body Found Dumped In Laurel Canyon As 2019 Oscar Race Heats Up https://t.co/CtmdAtmaEd https://t.co/xTLMQ2xknM,,The Onion,Twitter,Satirical
132,Scientists Theorize Sun Could Support Fire-Based Life https://t.co/iEwjXyKnnI https://t.co/vikHcXXj94,,The Onion,Twitter,Satirical
133,Never-Before-Heard Buzzword Flying Around Office Can’t Be Good https://t.co/jpENSnMcen https://t.co/l67SZ3eUBU,,The Onion,Twitter,Satirical
134,Government Shutdown Forces National Zoo To Turn Off Panda Suicide Cam https://t.co/D30fjZO2Yx https://t.co/zwiQmukMOx,,The Onion,Twitter,Satirical
135,Deloitte Hires Accountant After Noticing Popular Tweets Of Audit Calculations https://t.co/d7PmutWDxi https://t.co/DMJauMAuQ5,,The Onion,Twitter,Satirical
136,RT @ClickHole: Yes! Ham Goes Up An Escalator https://t.co/eCkXh3PqU9,,The Onion,Twitter,Satirical
137,"Hundreds Of Blind, Pallid Disney Characters Discovered Living In Caves Deep Within Space Mountain… https://t.co/vlPxg6af5c",,The Onion,Twitter,Satirical
138,Woman’s Primal Instincts Activate To Protect Nearly Finished Glass Of Wine From Approaching Server… https://t.co/hRZvFDMvCx,,The Onion,Twitter,Satirical
139,Married Couple Only Staying Together For Sake Of U.S. Divorce Rate https://t.co/eenUGfoI1E https://t.co/x6ZrbB5kev,,The Onion,Twitter,Satirical
140,Different Waitress Brings Order https://t.co/onUcbzY1Ln https://t.co/71S4vvs2wv,,The Onion,Twitter,Satirical
141,Flu Can’t Wait To Get The Fuck Out Of Area Man’s Body https://t.co/O3jNESxdvo https://t.co/ScN8OpVY8b,,The Onion,Twitter,Satirical
142,Neighborhood Kids Grant Landmark Status To House Where Guy Killed Himself https://t.co/foudPcvB59 https://t.co/Eqk6YIqPpc,,The Onion,Twitter,Satirical
143,Family Moves Elderly Aunt Into Subconscious https://t.co/aKNet622WE https://t.co/lLv6HRasEj,,The Onion,Twitter,Satirical
144,Best Buy Employee Wearing Different Colored Shirt For Some Reason https://t.co/A63s3gGHFw https://t.co/xkzuXpyPh6,,The Onion,Twitter,Satirical
145,Internet Users Demand Less Interactivity https://t.co/j2AOuBKo70 https://t.co/pW5eqhG8L3,,The Onion,Twitter,Satirical
146,"RT @ClickHole: This Amazing New Anti-Bullying Campaign Reminds Kids That Even Though Bullying Might Be Fun, Rewarding, And Cool, It Can Som…",,The Onion,Twitter,Satirical
147,"4 Copy Editors Killed In Ongoing AP Style, Chicago Manual Gang Violence https://t.co/uXypAaHolz https://t.co/BMeaWwudj0",,The Onion,Twitter,Satirical
148,U.S. Citizen Resigns After Making Controversial Remark About Country https://t.co/Lxcq8rbigB https://t.co/zxlVHNZlmj,,The Onion,Twitter,Satirical
149,Visit https://t.co/csf5QUbhed to see more from the standard bearer of global journalism. https://t.co/dyki38CHu0,,The Onion,Twitter,Satirical
150,Tucker Carlson Unsure Why He In Middle Of 20-Minute Rant Against Croutons https://t.co/ZDFodYuzfy https://t.co/xwSCgpFbF9,,The Onion,Twitter,Satirical
151,TSA Guy Circling Stuff On Boarding Pass With Reckless Abandon https://t.co/yAKho7hKr1 https://t.co/UBHv90Ahaj,,The Onion,Twitter,Satirical
152,Company President Started Out As Fertilized Embryo https://t.co/npXdGChR6X https://t.co/xKkAoUr1Ht,,The Onion,Twitter,Satirical
153,Decision To Circle Parking Lot Produces Carbon Emission That Finally Does It https://t.co/KqNIHvX1TF https://t.co/b1YVg1GUvZ,,The Onion,Twitter,Satirical
154,"New, Improved Google Maps Lets User Launch Missile At Any Location On Globe https://t.co/Bei3yiFPVa https://t.co/tymJ5Y2FtR",,The Onion,Twitter,Satirical
155,Nation Excited To See Whatever Bile The Internet Spews Up Today https://t.co/Wf5gHnjjOk https://t.co/ZiwBYOKBoE,,The Onion,Twitter,Satirical
156,Alcoholic’s Plan For Turning Life Around Doesn’t Involve Getting Sober https://t.co/618m9UG1mM https://t.co/avFvAjY8xn,,The Onion,Twitter,Satirical
157,"Encouragement Of Family, Friends Motivating Man To Keep Struggling Indefinitely https://t.co/eP5e4Tfi71 https://t.co/jfMXrn6Qrw",,The Onion,Twitter,Satirical
158,Glitch In Country Allows Citizens To Temporarily Walk Through Tables https://t.co/VQGGU84uUD https://t.co/aTw0PFVD6S,,The Onion,Twitter,Satirical
159,Papa John’s Now Offering 3-Day Home Delivery https://t.co/tp6342APvu https://t.co/b6cJEZSbKA,,The Onion,Twitter,Satirical
160,Factory-Farm-To-Table Restaurant Proudly Serves Locally Tortured Animals https://t.co/qPAO2LIgkZ https://t.co/joYzU2xyCq,,The Onion,Twitter,Satirical
161,Greeting Each Other Like Normal Human Beings Impossible For Local Friends https://t.co/Ml1GmsTboL https://t.co/BrpPcjRF6T,,The Onion,Twitter,Satirical
162,Mom’s Head Rotates Demonically After Passing Sign For Antique Wicker Furniture https://t.co/JBvZhYVxOd https://t.co/U1wRgQnRXp,,The Onion,Twitter,Satirical
163,Study Finds Suspicious Circumstances Still Leading Cause Of Death In Russia https://t.co/8bCqM0qmmN https://t.co/xqovineN1j,,The Onion,Twitter,Satirical
164,Nation’s Financial Advisors Recommend Capturing Magical Creature That Grants Wishes https://t.co/AFj3H1JbmR https://t.co/axvr1juVIH,,The Onion,Twitter,Satirical
165,Nation Gathers Around Area Man Trying To Parallel Park https://t.co/6iMHKTNPDH https://t.co/kAi1NyohNT,,The Onion,Twitter,Satirical
166,Audubon Society Revokes Black-Capped Chickadee’s Membership After Species Fails To Pay Dues https://t.co/1AJfgD7zFz https://t.co/8nNIN0iGbL,,The Onion,Twitter,Satirical
167,FDA Recommends At Least 3 Servings Of Foods With Word ‘Fruit’ On Box https://t.co/82lL3EKqmu https://t.co/Jb8c3rLj26,,The Onion,Twitter,Satirical
168,"For the latest from the world’s most unstoppable media juggernaut, visit https://t.co/csf5QUbhed. https://t.co/vNrhxIBm92",,The Onion,Twitter,Satirical
169,RT @ClickHole: How The Mighty Have Fallen: Jeff Bezos Has Blown His Entire Fortune Trying To Win A Giant Stuffed Taz At Six Flags https://t…,,The Onion,Twitter,Satirical
170,CIA Issues Posthumous Apology After New Evidence Clears Osama Bin Laden Of Involvement In 9/11 Attacks… https://t.co/n5cao0PfLM,,The Onion,Twitter,Satirical
171,"Report: It Apparently Time In Conversation To Smile, Laugh https://t.co/Mz6XDL4Zhu https://t.co/L6JtZl8x2W",,The Onion,Twitter,Satirical
172,Biologists Still No Closer To Discovering How Birds Have Sex https://t.co/t6BM0QXgiN https://t.co/cnodfptk2u,,The Onion,Twitter,Satirical
173,CEO Unveils Bold New Plan To Undo Damage From Last Year’s Bold New Plan https://t.co/NYWFezYmzo https://t.co/fxZEucPXYn,,The Onion,Twitter,Satirical
174,Intrepid Middle-Class Parents Embark On Daring Search For Mythical Perfect School District https://t.co/qtp0JWHG4I https://t.co/xRWvodUyoN,,The Onion,Twitter,Satirical
175,Francis Ford Coppola Reveals Every ‘Godfather’ Film Took Place In Same Narrative World https://t.co/jkuluSAQ2z https://t.co/ESHPjRJ6fB,,The Onion,Twitter,Satirical
